,name1,name2
524,ITK,KDR
525,ITK,KLRG1
526,ITK,SH2D1A
527,ITK,UNC13D
528,ITK,CXCR6
529,IFI30,IFNG
530,IFI30,IRF1
531,IFI30,XCL1
532,IFI30,IFIT1
533,IFI30,ISG20
534,IFI30,IFIT3
535,IFI30,IFITM1
536,IFI30,CCL4
537,IFI30,CCL20
538,IFI30,IFNB1
539,IFI30,CXCL11
540,IFI30,CCL8
541,IFI30,IFI35
542,IFI30,CCL5
543,IFI30,IFIT2
544,IFI30,CXCL10
545,CXADR,SDC1
546,CXADR,F11R
547,CXADR,ACE2
548,CXADR,VIM
549,CXADR,JAM3
550,CXADR,JAM2
551,CXADR,S100A8
552,CXADR,MARVELD1
553,CXADR,NLRP3
554,CXADR,IL1B
555,CXADR,ARRB2
556,IL21R,IL7
557,IL21R,CXCL10
558,IL21R,IL4
559,IL21R,CCL11
560,IL21R,CCL5
561,IL21R,CXCL8
562,MED12,EIF2AK2
563,MED12,RPN1
564,MED12,GPS1
565,MED12,ECI2
566,MED12,DHX8
567,MED12,SDF2L1
568,MED12,EEF1A2
569,MED12,HMGCS1
570,MED12,SCD
571,MED12,EFHD2
572,MED12,GTF2E2
573,MED12,EGF
574,MED12,JAG1
575,MED12,SRRM2
576,MED12,DES
577,MED12,ADSL
578,MED12,CTNS
579,MED12,HSPE1
580,MED12,FES
581,MED12,GAL
582,MED12,FN1
583,MED12,RAD21
584,MED12,ROMO1
585,MED12,GCK
586,MED12,ICA1
587,MED12,CLPS
588,MED12,PAICS
589,MED12,IL4
590,MED12,UBR1
591,MED12,UNG
592,MED12,VCP
593,CLDN4,CLDN7
594,CLDN4,CLDN11
595,CLDN4,EPHA2
596,CLDN4,EGF
597,CLDN4,MARVELD1
598,CLDN4,F11R
599,CLDN4,IL1B
600,CLDN4,ITIH4
601,CLDN4,CLDN5
602,CLDN4,CLDN6
603,CLDN4,S100A8
604,CLDN4,CXADR
605,CLDN4,CPE
606,CLDN4,CLDN9
607,CLDN4,CXCR2
608,CLDN4,TAS2R16
609,CLDN4,ENPEP
610,CLDN4,CXCR4
611,CLDN4,ERBB2
612,IRF3,IRF7
613,IRF3,NLRP12
614,IRF3,ISG20
615,IRF3,IRF9
616,IRF3,IRF5
617,IRF3,ATF2
618,IRF3,JUND
619,IRF3,TLR6
620,IRF3,ATF6
621,IRF3,JUN
622,IRF3,SIRT2
623,IRF3,KLRC1
624,IRF3,DHX33
625,IRF3,SFRP5
626,IRF3,KPNA4
627,IRF3,KPNA3
628,IRF3,KPNA2
629,IRF3,TRIM23
630,IRF3,ATG5
631,IRF3,ATF4
632,IRF3,ANXA6
633,IRF3,CXCL10
634,IRF3,CCL4
635,IRF3,CCL3
636,IRF3,CCL2
637,IRF3,CCL7
638,IRF3,JAK1
639,IRF3,CCL5
640,IRF3,KPNA1
641,IRF3,PMEL
642,IRF3,CXCL12
643,IRF3,SIAH1
644,IRF3,IRF6
645,IRF3,IRF4
646,IRF3,JAK2
647,IRF3,ATG12
648,IRF3,CCL11
649,IRF3,KCNE3
650,IRF3,APOA1
651,IRF3,ANXA2
652,IRF3,PIEZO1
653,IRF3,CX3CL1
654,IRF3,CCL8
655,IRF3,COBL
656,IRF3,ADAP2
657,IRF3,SRRM2
658,IRF3,ITGAX
659,IRF3,SGTA
660,IRF3,CXCL11
661,IRF3,OTUB1
662,IRF3,ATOX1
663,CLMP,IFNG
664,CLMP,PATZ1
665,ERBB3,PDGFRB
666,ERBB3,AKT1
667,ERBB3,ERBB4
668,ERBB3,KDR
669,ERBB3,INSR
670,ERBB3,ANXA6
671,ERBB3,EREG
672,ERBB3,TWF2
673,ERBB3,PTK6
674,ERBB3,ICAM1
675,ERBB3,CXCL10
676,ERBB3,CCL8
677,ERBB3,HMGA1
678,PIK3AP1,PIK3CG
679,PIK3AP1,RXRA
680,PIK3AP1,GNA14
681,PIK3AP1,CAMK1D
682,PIK3AP1,PPARA
683,PIK3AP1,DAB1
684,RAP1A,AKT1
685,RAP1A,INS
686,KCNH1,KDR
687,PIGU,STT3A
688,PIGU,HNRNPU
689,PIGU,EDEM3
690,FAIM,EGR1
691,FAIM,SV2A
692,FAIM,MXD3
693,FAIM,KLRC3
694,FAIM,RIPK3
695,FAIM,RUNX3
696,FAIM,AP4M1
697,FAIM,HSPB2
698,FAIM,AIFM1
699,FAIM,ACTA2
700,FAIM,HNF4G
701,FAIM,AGT
702,FAIM,IFNB1
703,FAIM,IFNG
704,FAIM,BIRC3
705,FAIM,NFKBIA
706,MOV10,SHFL
707,MOV10,PABPC1
708,MOV10,PARP1
709,MOV10,HSPA4
710,MOV10,DNAJB6
711,MOV10,G3BP1
712,MOV10,DDX58
713,MOV10,DNAJB1
714,MOV10,DHX30
715,MOV10,TRIM25
716,MOV10,CBLL2
717,MOV10,RUVBL2
718,MOV10,USP7
719,MOV10,G3BP2
720,MOV10,DDX3X
721,MOV10,ACE
722,MOV10,DGCR8
723,MOV10,XRN1
724,MOV10,DDX6
725,MOV10,UPF1
726,MOV10,PATL1
727,MOV10,LSM1
728,MOV10,DCP1B
729,MOV10,TNRC6A
730,MOV10,AGO2
731,MOV10,ADAR
732,MOV10,YBX1
733,MOV10,SND1
734,MOV10,RNASE1
735,MOV10,ELAVL1
736,MOV10,SF1
737,MOV10,RAB5A
738,MOV10,MAP3K19
739,MOV10,IRF9
740,MOV10,GAPDH
741,MOV10,IFIT3
742,MOV10,MAGT1
743,MOV10,STT3B
744,MOV10,HDLBP
745,MOV10,RRBP1
746,MOV10,IFIH1
747,MOV10,SETDB2
748,MOV10,HELZ2
749,MOV10,RNASEL
750,MOV10,ISG20
751,MOV10,PRMT6
752,MOV10,DCP1A
753,MOV10,PTPN11
754,MOV10,RPS27A
755,MOV10,IRF3
756,GRK6,GRK2
757,CD68,CD8A
758,CD68,CCL2
759,CD68,KDR
760,CD68,TNF
761,CD68,CD83
762,CD68,VDR
763,CD68,GPT
764,CD68,NCAM1
765,CD68,ANPEP
766,CD68,CD86
767,CD68,ITGAX
768,CD68,PTPRC
769,CD68,CD69
770,CD68,CSF1
771,CD68,IL4
772,CD68,FCGR3B
773,CD68,CSF2
774,CD68,IL2RA
775,CD68,IFNG
776,CD68,IL2
777,CD68,TMPRSS2
778,CD68,TGFB1
779,CD68,PECAM1
780,CD68,CCL5
781,CD68,CD80
782,CD68,CRP
783,CD68,ITGAM
784,CD68,IL6
785,CD68,CCL3
786,CD68,CXCR4
787,CD68,CD81
788,CD68,APCS
789,CD68,VTN
790,CD68,CD9
791,CD68,TLR4
792,CD68,ICAM1
793,CD68,FCGR1A
794,CD68,PTPN11
795,CD68,CX3CR1
796,CD68,ITGAL
797,CD68,ITGB2
798,CD68,S100A6
799,CD68,FUT4
800,CD68,FOXP3
801,CD68,ALB
802,CD68,FCGR2C
803,CD68,TLR3
804,CD68,POU5F1
805,CD68,CCL4
806,CD68,IFIH1
807,CD68,MX1
808,CD68,CXCL8
809,CD68,RSAD2
810,CD68,DDX58
811,CD68,CSF1R
812,CD68,IL3
813,CD68,OASL
814,CD68,IL10
815,CD68,IL1B
816,CD68,FAS
817,CD68,CD207
818,CD68,SELPLG
819,CD68,CDH1
820,CD68,CD40LG
821,CD68,IL18
822,CD68,TLR7
823,CD68,NLRP3
824,CD68,ACE2
825,CD68,IL16
826,CD68,IL3RA
827,CD68,IL13
828,APOA1,APOE
829,APOA1,ARF1
830,APOA1,APOC1
831,APOA1,APOL1
832,APOA1,APOD
833,APOA1,APOA2
834,APOA1,APOH
835,APOA1,APOC2
836,APOA1,APOB
837,APOA1,APOC3
838,APOA1,APOA4
839,ADAR,ANPEP
840,ADAR,ILF3
841,ADAR,IRF7
842,ADAR,S100A9
843,ADAR,IRF9
844,ADAR,IFIT1
845,ADAR,SERPINB3
846,ADAR,ALB
847,ADAR,MAGT1
848,ADAR,RRBP1
849,ADAR,IL15
850,ADAR,SLC10A1
851,ADAR,ADARB1
852,PYCR1,HNRNPA2B1
853,PYCR1,HNRNPH1
854,PYCR1,HNRNPU
855,PYCR1,HNRNPC
856,AIFM1,EIF2AK2
857,AIFM1,RPS27A
858,AIFM1,AGK
859,AIFM1,UBR5
860,AIFM1,SCAMP3
861,AIFM1,ATG9A
862,AIFM1,NCLN
863,AIFM1,MXD3
864,AIFM1,KLRC3
865,AIFM1,RIPK3
866,AIFM1,RUNX3
867,AIFM1,AP4M1
868,AIFM1,PTAFR
869,AIFM1,HSPB2
870,AIFM1,ACTA2
871,AIFM1,GOLPH3
872,AIFM1,HNF4G
873,AIFM1,AGT
874,AIFM1,FADD
875,AIFM1,SV2A
876,AIFM1,PTPN11
877,AIFM1,SEL1L
878,AIFM1,SH3GLB1
879,AIFM1,SH3GL2
880,AIFM1,SH3GLB2
881,AIFM1,HM13
882,AIFM1,RPS6
883,AIFM1,RPL10A
884,AIFM1,HNRNPDL
885,AIFM1,HSPA4
886,PLXNB1,IFITM1
887,PLXNB1,IFNG
888,PLXNB1,SEMA4D
889,PLXNB1,GPR87
890,PLXNB1,KIF20A
891,PLXNB1,PLXNB2
892,ZFP36,PARP12
893,ZFP36,EIF4A2
894,ZFP36,EIF4G1
895,ZFP36,EGR1
896,ZFP36,IL6
897,ZFP36,ZNF300
898,ZFP36,NFAT5
899,ZFP36,SOCS1
900,ZFP36,JUN
901,ZFP36,NFKB1
902,ZFP36,MAP3K19
903,ZFP36,YBX1
904,ZFP36,SAMD4A
905,ZFP36,EIF4B
906,ZFP36,EIF4E
907,ZFP36,EIF3A
908,ZFP36,SRSF11
909,ZFP36,PABPC1
910,ZFP36,PXDNL
911,RMND5A,PTPN11
912,RMND5A,GTF2H1
913,RMND5A,MARVELD2
914,IGF2BP1,IGF2BP2
915,IGF2BP1,IGF2BP3
916,CIITA,IRF1
917,CIITA,IFIT1
918,CIITA,NOS2
919,CIITA,IFNG
920,CIITA,RFX5
921,CIITA,GATA2
922,CIITA,HMGB1
923,CIITA,NFATC1
924,CIITA,IFI16
925,CIITA,FOXM1
926,CIITA,CDKN2A
927,CIITA,NFIL3
928,CIITA,CEBPB
929,CIITA,RAD21
930,CIITA,SIRT1
931,CIITA,IRF7
932,CIITA,YY1
933,CIITA,RUNX3
934,CIITA,PML
935,CIITA,EPAS1
936,CIITA,IRF5
937,CIITA,TSC22D3
938,CIITA,RELA
939,CIITA,ZBTB7B
940,COMT,ACE2
941,COMT,PRSS57
942,COMT,FOXN4
943,COMT,SLC44A5
944,COMT,TAS2R38
945,COMT,RET
946,PADI3,SEC24B
947,PADI3,DDX6
948,PADI3,ATXN2
949,PADI3,SEC13
950,PADI3,DYNC1H1
951,PADI3,HLA-A
952,SCD,SDF2L1
953,SCD,EFHD2
954,SCD,SELP
955,SCD,ARNTL
956,FDPS,HMGCR
957,FDPS,PIK3C2A
958,FDPS,AP1S1
959,NLRX1,TICAM1
960,NLRX1,NLRP3
961,NLRX1,NLRC5
962,NLRX1,IRF1
963,NLRX1,TRAF6
964,NLRX1,TRAF3
965,NLRX1,TLR7
966,NLRX1,IRF3
967,NLRX1,NLRP12
968,NLRX1,TLR2
969,NLRX1,IL18
970,NLRX1,TNF
971,NLRX1,JUND
972,NLRX1,DDX58
973,NLRX1,TLR6
974,NLRX1,IL1B
975,NLRX1,NLRP1
976,NLRX1,NR2C2
977,NLRX1,RSAD2
978,NLRX1,PLK1
979,NLRX1,USP18
980,NLRX1,IFIH1
981,NLRX1,CLEC5A
982,NLRX1,NLRC4
983,NLRX1,NEK7
984,NLRX1,P2RX7
985,NLRX1,SNAP47
986,NLRX1,RETREG1
987,NLRX1,PYCARD
988,NLRX1,IFNG
989,NLRX1,IFNB1
990,NLRX1,CSF2
991,NLRX1,AIM2
992,NLRX1,CCL5
993,NLRX1,TYROBP
994,NLRX1,CLEC4D
995,NLRX1,CXCL10
996,NLRX1,DDX6
997,NLRX1,XBP1
998,NLRX1,TUFM
999,CHD3,MUC3A
1000,CHD3,HIVEP2
1001,CHD3,MYC
1002,CHD3,PTPN11
1003,CHD3,HPX
1004,CHD3,MECOM
1005,CHD3,AHSG
1006,CHD3,RBP4
1007,CHD3,PLG
1008,CHD3,KAT5
1009,CHD3,HP
1010,CHD3,HNRNPH3
1011,CHD3,HNRNPF
1012,CHD3,XPO1
1013,CHD3,PABPC1
1014,CHD3,GRAP2
1015,CHD3,CX3CR1
1016,CHD3,GBP2
1017,CHD3,PTPRM
1018,NIPSNAP1,PPP1R3E
1019,NIPSNAP1,FHL2
1020,NIPSNAP1,ENO1
1021,NIPSNAP1,VPS11
1022,NIPSNAP1,JAG1
1023,NIPSNAP1,KIF3B
1024,NIPSNAP1,HNRNPH3
1025,NIPSNAP1,PDE4DIP
1026,NIPSNAP1,ARNTL
1027,NIPSNAP1,PHC2
1028,NIPSNAP1,SLC25A36
1029,NIPSNAP1,GRN
1030,NIPSNAP1,MISP
1031,NIPSNAP1,LRRC45
1032,NIPSNAP1,MACO1
1033,NIPSNAP1,SPDL1
1034,NIPSNAP1,GPATCH2L
1035,NIPSNAP1,PHAX
1036,DNAJC9,DNAJA2
1037,DNAJC9,DNAJA1
1038,DNAJC9,DNAJB6
1039,DNAJC9,DNAJB11
1040,DNAJC9,HSPA4
1041,DNAJC9,DNAJC18
1042,DMD,RELA
1043,DMD,PANX1
1044,HDX,AGA
1045,HDX,GCG
1046,HDX,EXOC6
1047,HDX,PNPLA6
1048,HDX,ADCY6
1049,HDX,ALB
1050,SLC22A7,NTS
1051,SLC22A7,HTT
1052,RETN,IL6
1053,RETN,INS
1054,RETN,ICAM1
1055,RETN,SCD
1056,RETN,ABCA10
1057,RETN,IRS2
1058,RETN,ABCA1
1059,RETN,IL10
1060,RETN,IFNG
